year,city,global_avg_temp,city_avg_temp
1849,Abidjan,7.98,25.58
1850,Abidjan,7.90,25.52
1851,Abidjan,8.18,25.67
1852,Abidjan,8.10,
1853,Abidjan,8.04,
1854,Abidjan,8.21,
1855,Abidjan,8.11,
1856,Abidjan,8.00,26.28
1857,Abidjan,7.76,25.17
1858,Abidjan,8.10,25.49
1859,Abidjan,8.25,25.92
1860,Abidjan,7.96,25.46
1861,Abidjan,7.85,25.67
1862,Abidjan,7.56,25.17
1863,Abidjan,8.11,
1864,Abidjan,7.98,
1865,Abidjan,8.18,
1866,Abidjan,8.29,
1867,Abidjan,8.44,
1868,Abidjan,8.25,
1869,Abidjan,8.43,
1870,Abidjan,8.20,
1871,Abidjan,8.12,
1872,Abidjan,8.19,
1873,Abidjan,8.35,25.62
1874,Abidjan,8.43,25.68
1875,Abidjan,7.86,25.25
1876,Abidjan,8.08,25.14
1877,Abidjan,8.54,25.85
1878,Abidjan,8.83,25.87
1879,Abidjan,8.17,25.38
1880,Abidjan,8.12,25.96
1881,Abidjan,8.27,26.07
1882,Abidjan,8.13,25.69
1883,Abidjan,7.98,26.13
1884,Abidjan,7.77,26.37
1885,Abidjan,7.92,26.07
1886,Abidjan,7.95,25.47
1887,Abidjan,7.91,24.91
1888,Abidjan,8.09,24.95
1889,Abidjan,8.32,25.12
1890,Abidjan,7.97,24.86
1891,Abidjan,8.02,25.11
1892,Abidjan,8.07,25.17
1893,Abidjan,8.06,25.33
1894,Abidjan,8.16,25.04
1895,Abidjan,8.15,25.37
1896,Abidjan,8.21,25.33
1897,Abidjan,8.29,25.64
1898,Abidjan,8.18,25.47
1899,Abidjan,8.40,26.46
1900,Abidjan,8.50,26.12
1901,Abidjan,8.54,25.92
1902,Abidjan,8.30,25.59
1903,Abidjan,8.22,25.48
1904,Abidjan,8.09,25.24
1905,Abidjan,8.23,25.78
1906,Abidjan,8.38,26.08
1907,Abidjan,7.95,25.69
1908,Abidjan,8.19,25.80
1909,Abidjan,8.18,25.57
1910,Abidjan,8.22,25.70
1911,Abidjan,8.18,25.41
1912,Abidjan,8.17,26.42
1913,Abidjan,8.30,26.33
1914,Abidjan,8.59,26.28
1915,Abidjan,8.59,26.29
1916,Abidjan,8.23,26.13
1917,Abidjan,8.02,26.47
1918,Abidjan,8.13,25.93
1919,Abidjan,8.38,26.19
1920,Abidjan,8.36,26.32
1921,Abidjan,8.57,26.42
1922,Abidjan,8.41,26.23
1923,Abidjan,8.42,25.96
1924,Abidjan,8.51,26.09
1925,Abidjan,8.53,26.09
1926,Abidjan,8.73,26.79
1927,Abidjan,8.52,26.23
1928,Abidjan,8.63,26.16
1929,Abidjan,8.24,26.50
1930,Abidjan,8.63,26.39
1931,Abidjan,8.72,26.44
1932,Abidjan,8.71,25.81
1933,Abidjan,8.34,26.55
1934,Abidjan,8.63,26.38
1935,Abidjan,8.52,26.15
1936,Abidjan,8.55,25.88
1937,Abidjan,8.70,26.54
1938,Abidjan,8.86,26.53
1939,Abidjan,8.76,25.84
1940,Abidjan,8.76,26.61
1941,Abidjan,8.77,26.77
1942,Abidjan,8.73,26.34
1943,Abidjan,8.76,26.06
1944,Abidjan,8.85,26.56
1945,Abidjan,8.58,26.52
1946,Abidjan,8.68,26.25
1947,Abidjan,8.80,26.37
1948,Abidjan,8.75,26.15
1949,Abidjan,8.59,26.51
1950,Abidjan,8.37,26.20
1951,Abidjan,8.63,26.32
1952,Abidjan,8.64,26.28
1953,Abidjan,8.87,26.24
1954,Abidjan,8.56,26.01
1955,Abidjan,8.63,26.03
1956,Abidjan,8.28,25.90
1957,Abidjan,8.73,26.28
1958,Abidjan,8.77,26.19
1959,Abidjan,8.73,26.39
1960,Abidjan,8.58,26.36
1961,Abidjan,8.80,26.25
1962,Abidjan,8.75,26.19
1963,Abidjan,8.86,26.55
1964,Abidjan,8.41,25.96
1965,Abidjan,8.53,25.97
1966,Abidjan,8.60,26.45
